filename	accuracy
summaries_2last_mbert-base-bm.csv	0.11920529801324503
summaries_1last_google-mbert-bm.csv	0.12389380530973451
information_retrieval_mbert-ft.csv	0.6837416481069042
summaries_1last_t5_base-bm.csv	0.206401766004415
information_retrieval_aleph-bert-ft.csv	0.6720183486238532
information_retrieval_google-mbert-bm.csv	0.6978021978021978
summaries_2last_legal_hebert-bm.csv	0.09381898454746136
information_retrieval_legal-hebert-bm.csv	0.5736263736263736
question_answering_mt5-small-ft-3e5_ft_withprep3e5_3questions.csv	0
summaries_1last_mbert-base-bm.csv	0.09050772626931568
summaries_2last_t5_base-bm.csv	0.2891832229580574
question_answering_mt5-small-ft-3e5_ft_noprep3e5_3questions.csv	0
information_retrieval_aleph-bert-bm.csv	0.3388888888888889
information_retrieval_legal-hebert-ft.csv	0.6832229580573952
rule_based_sentences.csv	0.6406593406593407
summaries_2last_alephbert-bm.csv	0.09381898454746136
summaries_2last_google-mbert-bm.csv	0.17699115044247787
summaries_1last_alephbert-bm.csv	0.0673289183222958
summaries_1last_legal_hebert-bm.csv	0.07505518763796909
