filename	result
23019330.O20.txt	בהתחשב בגילו הצעיר, בהעדר עבר פלילי, בלקיחת האחריות ובכלל נסיבות העניין, החלטנו על הקלה מסויימת בעונש; עונש המאסר יעמוד על 3 שנים, חלף 3 וחצי שנות מאסר שנקבעו בגזר הדין בבית המשפט המחוזי, שאר רכיבי גזר הדין יעמדו על כנם
22032000.P08.txt	"על החלטה זו הגיש העותר ערר ביום 12.1.2021 וביום 17.1.2022 נודע לעותר על דחיית הערר, ועל כך הוגשה העתירה שלפנינו. המשיבה טוענת מנגד כי דין העתירה להידחות על הסף לאור ההלכה המושרשת לפיה בית המשפט ייטה שלא להתערב בשיקול דעתן של רשויות החקירה והתביעה, ובכלל זה בשאלת העילה שבשלה ייסגר תיק. לבסוף טוענת המשיבה כי לאור טענותיה לעיל, ההחלטה על דחיית הערר היא החלטה סבירה ומנומקת הכוללת התייחסות מלאה ומקיפה לכלל טענותיו של העותר, וכי משום כך דין העתירה להידחות. למעלה מן הצורך באותו עניין, היא התייחסה לאופן שבו יש לסווג את עילות הסגירה, וזאת בשים לב לכך שחשוד שהוחלט לסגור את תיק החקירה בעניינו נהנה מחזקת החפות: ""דעתי היא כי כאשר עסקינן במי שלא נמצאו די ראיות להגשת כתב אישום בעניינם – מן הראוי להגמיש את המבחן לסגירת תיק חקירה בהיעדר אשמה, תוך שינוי הדרישה הראייתית שביסוד עילה זו. אם עמדתו של החשוד מעוררת קושי משמעותי מאוד (בין אם ברמה העובדתית או ברמה המשפטית), עשויה התביעה להחליט להעמיד את החשוד לדין, ולנסות לשכנע את בית המשפט כי אין די בראיות שהוא הציג כדי לסתור את חזקת האשמה; או כי אין לקבל את עמדתו המשפטית. לכן הוחלט כי עילת הסגירה תהיה עילה של חוסר ראיות. סוף דבר, דין העתירה להידחות. ש ו פ ט הוחלט כאמור בפסק דינה של השופטת ר' רונן"
22010740.X06.txt	"במסגרת הסדר הטיעון הוסכם, כי יוטל על המערער 1 עונש של מאסר בפועל וענישה נלווית. באשר למערער 2 הוסכם כי יוטל עליו עונש מאסר בפועל וענישה נלווית, כאשר לעניין משכו של עונש המאסר יטענו הצדדים באופן חופשי. בהסדר הטיעון הוסכם כי יוטל על מוהנד עונש מאסר בפועל החופף את תקופת מעצרו שעמדה על שלושה חודשים, וכן ענישה נלווית. לאחר עיון בגזר דינו של בית המשפט המחוזי, ולאחר בחינת טענות הצדדים בדיון שהתקיים לפנינו, באנו לכלל מסקנה כי דין הערעור להידחות. כידוע, מידת ההתערבות של ערכאת הערעור בגזר דין היא מצומצמת, ושמורה למקרים חריגים בלבד, שבהם גזר הדין מגלה סטייה ניכרת ממדיניות הענישה הנוהגת או כאשר נפלה טעות מהותית בגזר הדין (ראו: ע""פ 2421/21 ברמי נ' מדינת ישראל, פסקה 9 (7.7.2022); ע""פ 2090/22 מדינת ישראל נ' פלוני, פסקה 9 (29.5.2022); ע""פ 5262/21 אבו סבילה נ' מדינת ישראל, פסקה 9 (16.5.2022)). סיכומו של דבר, כל השיקולים הנדרשים בעניינם של המערערים הובאו בחשבון ולא נפלה בגזר דינו של בית המשפט המחוזי כל טעות המצדיקה התערבותנו. המערער 2 יתייצב לריצוי עונש המאסר בפועל שהוטל עליו ביום 14.8.2022 בשעה 09:00 בבית המעצר קישון, או על פי החלטת שירות בתי הסוהר, כשברשותו תעודת זהות או דרכון. ש ו פ ט הוחלט כאמור בפסק דינה של השופטת ג' כנפי-שטייניץ"
23015880.E02.txt	ביום 5.10.2022 הורה המפקד הצבאי על הארכת מעצרו המנהלי של העותר לתקופה נוספת של ששה חודשים, החל מיום 10.10.2022 ועד ליום 9.4.2023. אשר על כן, העתירה נדחית
23060140.E03.txt	ביום 8.5.2023, לאחר שנוכח כי מסוכנות העותר לא קהתה וכי לא קיימת חלופה פלילית, הורה המפקד הצבאי על הארכת מעצרו המנהלי לתקופה נוספת של שישה חודשים, החל מיום 20.5.2022 ועד ליום 19.11.2023 (להלן: הצו השני). נציין כי בשל טעות סופר בצו השני, לפיה מועד תחילתו של הצו בחודש מאי 2022, ביום 6.9.2023 נחתם צו מעצר מתוקן החל מיום 20.5.2023 ועד ליום 19.11.2023. אשר על כן, העתירה נדחית
23021700.P05.txt	"פלונית עתירה למתן צו על תנאי בעניין פסק דינו של בית הדין הרבני הגדול בתיק 1380761/2 מיום 21.2.2023 בשם העותר: עו""ד צמח גרין בשם היועץ המשפטי לשיפוט רבני: עו""ד הרב שמעון יעקבי בשם המשיבה 3: עו""ד שי זילברברג; עו""ד דינה רייטשיק פסק-דין השופטת ר' רונן: לפנינו עתירה המכוונת נגד פסק דינו של בית הדין הרבני הגדול מיום 21.2.2023 בו נדחה ערעור שהגיש העותר על החלטת בית הדין הרבני האזורי בתל-אביב מיום 28.6.2022, לפיה יש לבית הדין הרבני האזורי סמכות לדון בתביעת המשיבה 3 לגירושין כנגד העותר. בסופו של דבר הובהר שוב כי בני הזוג פרודים מאפריל 2019 וכי ""אין כאן סיכוי לשלום בית"". יחד עם זאת הוא הוסיף כי ההחלטות אינן חורגות מהוראות החוק והפסיקה ולכן על העתירה להידחות על הסף ולגופה. דין העתירה להידחות על הסף. בהמשך, במסגרת תיקון מספר 5 מיום 30.11.2021, נוסף סעיף 4ב1 כהוראה קבועה. בתוך כך נפגעת גם זכותה של האישה לאוטונומיה, זכותה של האישה להגשים עצמה כאדם חופשי, זכותה לבחור את גורלה, לכתוב את סיפור חייה – להחליט, היא ורק היא, האם ומתי יבוא על סיומו קשר נישואין שאין היא רוצה בו עוד והאם ומתי תבחר לקשור עצמה בקשר כזה בשנית"" (ראו גם: בג""ץ 5185/13 פלוני נ' בית הדין הרבני הגדול בירושלים, פסקה כב' לפסק-דינו של המשנה לנשיאה א' רובינשטיין (28.2.2017). סוף דבר: העתירה נדחית. העותר יישא בהוצאות המשיבה ובהוצאות היועץ המשפטי לשיפוט הרבני בסך של 2,000 ₪ לכל אחד"
21079460.E05.txt	ביום 27.7.2015 התקבל מענה המחלקה לעניינים בינלאומיים, ובו נכתב כי השרים החליטו על דחיית בקשת העותר, לנוכח חומרת העבירות בהן הורשע, מסוכנותו, תקופת המאסר שריצה עד אותו מועד, זיקתו למדינת ישראל והמשך פעילות פלילית מצדו במהלך מאסרו (החלטת השר לביטחון פנים התקבלה ביום 7.8.2013, והחלטת שרת המשפטים התקבלה ביום 13.7.2015). עוד טענו המשיבים, כי דין העתירה להידחות על הסף גם לנוכח חוסר ניקיון כפיים מצד העותר, שלא ציין בעתירתו כמו גם בבקשתו לריצוי המשך מאסרו באוקראינה, כי תלוי ועומד נגדו אישום פלילי בגין עבירת איומים כלפי קצין מודיעין בשירות בתי הסוהר, שביצע על פי הנטען ביום 10.2.2019. דין העתירה להידחות על הסף בהיותה מוקדמת. סוף דבר, שהעתירה נדחית. העותר יישא בהוצאות המשיבים בסך 1,000 ₪
22014200.Y03.txt	"ביום 27.1.2016 הוחלט שלא להעמיד את המתלונן לדין ותיק החקירה נגדו נסגר בעילה של ""חוסר ראיות"" בהתאם להוראת סעיף 62(ב) לחוק סדר הדין הפלילי [נוסח משולב], התשמ""ב-1982 (להלן: החסד""פ). לאחר פנייתך הקודמת וההחלטה על דחיית בקשתך לשינוי עילת הסגירה, מכיוון והגשת ערר נוסף, הוחלט לפתוח את []תיק החקירה מחדש. ביום 7.2.2022 הודיעה מ""מ הנציב לב""כ העותרת כי לאחר דיון אצל היועץ המשפטי לממשלה, אשר תמך בעמדת המשנה ליועמ""ש בדבר סמכות ביקורת הנציבות במקרים מסוג זה, הוחלט לחדש את בירור התלונה, והעותרת התבקשה להגיש התייחסותה לתלונה עד ליום 21.2.2022. לאחר שעיינתי בעתירה, בתגובה המקדמית שהגיש הנציב ובעמדת העותרת לגביה, סברתי כי דין העתירה להידחות על הסף מחמת היותה עתירה מוקדמת. זאת מן הטעם שלא מתקיים הבסיס הנדרש לקיום ביקורת שיפוטית על ההחלטה, ואף ייתכן שלאחר שתינתן החלטתה הסופית של הרשות המוסמכת, הדיון בסוגיה יתייתר, ולמצער יביא הדבר לחידוד המחלוקת בין הצדדים וכפועל יוצא לקיום דיון בצורה יעילה יותר (ראו: בג""ץ 3911/21 ק.ל.ע. הבקשה לצו ביניים נדחית אף היא"
21010890.J04.txt	"הבקשה למתן רשות ערעור הוגשה על פסק דינו של בית המשפט המחוזי בירושלים (השופטים ר' וינגורד, ש' ליבוביץ' ו-ת' בר-אשר) בע""פ 75519-12-19 מיום 3.1.2021, בגדרו התקבל ערעור המשיב על הכרעת דינו וגזר דינו של בית משפט השלום בירושלים (השופטת ג' סקפה שפירא) בת""פ 37134-10-17 מיום 3.7.2019 ומיום 20.11.2019, בהתאמה. כפי שיפורט להלן, אני סבור כי דין הערעור להתקבל. האזנה לסוד שיחו של אדם, מבלי שידע על כך, פוגעת קשות בהגנה על המרחב הפרטי שלו, באוטונומיה שלו להחליט לחשוף על דעת עצמו פרטים על אודותיו עם אחרים, בצנעת הפרט ואף בצדדים שלישיים, ששיחותיהם נקלטות ללא ידיעתם וללא הסכמתם (בש""פ 7064/08 מדינת ישראל נ' ברקו, פ""ד סג(2) 453, 484 (2009); בג""ץ 5207/04 אפל נ' היועץ המשפטי לממשלה, פסקה 7 (20.5.2010); בש""פ 2043/05 מדינת ישראל נ' זאבי, פסקה 17 (15.9.2005) (להלן: עניין זאבי); לעניין זכותו של נחקר לפרטיות, ראו גם בדנ""פ 1062/21 אוריך נ' מדינת ישראל, פסקה 36 לחוות דעתי (11.1.2022)). כלומר, צריך להחליט על השאלה האם בהאזנה שנעשתה כדין אנו משתמשים בראיות שהתגלו על עבירה אחרת שהיא עוון או חטא. סופו של דבר, אני מצטרפת לעמדתו של חברי השופט י' אלרון, כמפורט בסעיף 35 לפסק דינו. ש ו פ ט ת הוחלט כאמור בפסק דינו של השופט י' אלרון"
23041680.E02.txt	לנוכח המידע החסוי לגבי העותר, המסוכנות הנשקפת ממנו ובהעדר אפשרות להעמידו לדין פלילי, הורה המפקד הצבאי ביום 5.9.2022 על מעצרו המנהלי של העותר לתקופה של כשישה חודשים, החל מיום 5.9.2022 ועד ליום 28.2.2023 (להלן: הצו הראשון). ביום 7.2.2023 הוארך מעצרו המנהלי של העותר לתקופה של כשישה חודשים נוספים, החל מיום 8.2.2023 ועד ליום 7.8.2023 (להלן: הצו השני). אשר על כן, העתירה נדחית
