filename	precision	recall	f1	accuracy	bleu	rouge	tlnls
summaries_2last_mbert-base-bm.csv	0.0	0.0	0	0.0	0	{'rouge1': Score(precision=0.16351010101010102, recall=0.6727272727272727, fmeasure=0.26307770441848655), 'rouge2': Score(precision=0.08338597599494631, recall=0.34375, fmeasure=0.13421453990849008), 'rougeL': Score(precision=0.10164141414141414, recall=0.41818181818181815, fmeasure=0.16353478923311324)}	0.16146738364326252
summaries_1last_google-mbert-bm.csv	0.0	0.0	0	0.0	0	{'rouge1': Score(precision=0.3426470588235294, recall=0.6051948051948052, fmeasure=0.43755868544600934), 'rouge2': Score(precision=0.10751104565537556, recall=0.19010416666666666, fmeasure=0.13734713076199434), 'rougeL': Score(precision=0.15441176470588236, recall=0.2727272727272727, fmeasure=0.1971830985915493)}	0.27391839170040716
information_retrieval_mbert-ft.csv	0.011135857461024499	0.011135857461024499	0.011135857461024499	0.011135857461024499	0.0007396114523916231	{'rouge1': Score(precision=0.015527104331244893, recall=0.7702702702702703, fmeasure=0.03044058744993324), 'rouge2': Score(precision=0.013675493080527406, recall=0.6802168021680217, fmeasure=0.02681194253057737), 'rougeL': Score(precision=0.015200217924271316, recall=0.754054054054054, fmeasure=0.02979973297730307)}	0.103003926102773
summaries_1last_t5_base-bm.csv	0.0	0.0	0	0.0	0	{'rouge1': Score(precision=0.7287234042553191, recall=0.35584415584415585, fmeasure=0.47818499127399644), 'rouge2': Score(precision=0.20855614973262032, recall=0.1015625, fmeasure=0.13660245183887917), 'rougeL': Score(precision=0.3617021276595745, recall=0.17662337662337663, fmeasure=0.23734729493891799)}	0.34177716087726356
information_retrieval_aleph-bert-ft.csv	0.052752293577981654	0.052752293577981654	0.052752293577981654	0.052752293577981654	0.002241673120687004	{'rouge1': Score(precision=0.025559971098265896, recall=0.7905027932960894, fmeasure=0.049518810148731406), 'rouge2': Score(precision=0.02267184536175594, recall=0.7030812324929971, fmeasure=0.043927196359817997), 'rougeL': Score(precision=0.02483742774566474, recall=0.7681564245810056, fmeasure=0.048118985126859144)}	0.1901125190507303
information_retrieval_google-mbert-bm.csv	0.0	0.0	0	0.0	0	{'rouge1': Score(precision=0.0038082984882598907, recall=0.7668393782383419, fmeasure=0.007578958149300355), 'rouge2': Score(precision=0.003473830477072719, recall=0.7012987012987013, fmeasure=0.006913415867569678), 'rougeL': Score(precision=0.0037825667417175943, recall=0.7616580310880829, fmeasure=0.007527748972615893)}	0.015175343846984747
summaries_2last_legal_hebert-bm.csv	0.0	0.0	0	0.0	0	{'rouge1': Score(precision=0.23055809698078683, recall=0.6545454545454545, fmeasure=0.34100135317997293), 'rouge2': Score(precision=0.10622710622710622, recall=0.3020833333333333, fmeasure=0.15718157181571815), 'rougeL': Score(precision=0.1253430924062214, recall=0.35584415584415585, fmeasure=0.18538565629228684)}	0.14350165980865934
information_retrieval_legal-hebert-bm.csv	0.002197802197802198	0.002197802197802198	0.002197802197802198	0.002197802197802198	0.0003921245455787594	{'rouge1': Score(precision=0.008861911987860394, recall=0.7564766839378239, fmeasure=0.01751859851211903), 'rouge2': Score(precision=0.007860633099638836, recall=0.6727272727272727, fmeasure=0.015539689206215877), 'rougeL': Score(precision=0.00858877086494689, recall=0.7331606217616581, fmeasure=0.016978641708663308)}	0.021561654331006392
question_answering_mt5-small-ft-3e5_ft_withprep3e5_3questions.csv	0.0	0.0	0	0.0	0	{'rouge1': Score(precision=0.0013989023996556548, recall=0.03523035230352303, fmeasure=0.0026909542537776857), 'rouge2': Score(precision=0.00010761945759793371, recall=0.002717391304347826, fmeasure=0.0002070393374741201), 'rougeL': Score(precision=0.0013989023996556548, recall=0.03523035230352303, fmeasure=0.0026909542537776857)}	0.07784330361181603
summaries_1last_mbert-base-bm.csv	0.0	0.0	0	0.0	0	{'rouge1': Score(precision=0.36363636363636365, recall=0.612987012987013, fmeasure=0.4564796905222437), 'rouge2': Score(precision=0.12962962962962962, recall=0.21875, fmeasure=0.1627906976744186), 'rougeL': Score(precision=0.17565485362095531, recall=0.2961038961038961, fmeasure=0.22050290135396516)}	0.2757430875703135
