filename	label
23019330.O20.txt	בהתחשב בגילו הצעיר, בהעדר עבר פלילי, בלקיחת האחריות ובכלל נסיבות העניין, החלטנו על הקלה מסויימת בעונש; עונש המאסר יעמוד על 3 שנים, חלף 3 וחצי שנות מאסר שנקבעו בגזר הדין בבית המשפט המחוזי, שאר רכיבי גזר הדין יעמדו על כנם
22032000.P08.txt	המשיבה טוענת מנגד כי דין העתירה להידחות על הסף לאור ההלכה המושרשת לפיה בית המשפט ייטה שלא להתערב בשיקול דעתן של רשויות החקירה והתביעה, ובכלל זה בשאלת העילה שבשלה ייסגר תיק
22010740.X06.txt	כן הוסכם כי המדינה תבקש להטיל על המערער 1 עונש של 4 שנות מאסר ותבקש להפעיל את עונש המאסר המותנה התלוי ועומד מעליו, ואילו ההגנה תטען באופן חופשי בעניינים אלה
23015880.E02.txt	אשר על כן, העתירה נדחית
23060140.E03.txt	אשר על כן, העתירה נדחית
23021700.P05.txt	העותר יישא בהוצאות המשיבה ובהוצאות היועץ המשפטי לשיפוט הרבני בסך של 2,000 ₪ לכל אחד
21079460.E05.txt	העותר יישא בהוצאות המשיבים בסך 1,000 ₪
22014200.Y03.txt	"ביום 27.1.2016 הוחלט שלא להעמיד את המתלונן לדין ותיק החקירה נגדו נסגר בעילה של ""חוסר ראיות"" בהתאם להוראת סעיף 62(ב) לחוק סדר הדין הפלילי [נוסח משולב], התשמ""ב-1982 (להלן: החסד""פ)"
21010890.J04.txt	כפי שיפורט להלן, אני סבור כי דין הערעור להתקבל
23041680.E02.txt	אשר על כן, העתירה נדחית
21026650.Z06.txt	הוסכם כי אם ערכם ירד עד מתן פסק הדין בערעור והערעור יידחה, הפרש השער ייזקף על חשבון חובו של המשיב לרשות המיסים
23028400.J09.txt	במישור העונשי, המשיבה הודיעה כי תעתור לעונש ראוי של 36 חודשי מאסר בפועל לצד ענישה נלווית, והוסכם כי ההגנה רשאית לטעון באופן חופשי
22048250.A01.txt	אשר על כן, העתירה נדחית על הסף
21078000.A07.txt	"המערער יתייצב לריצוי עונשו בימ""ר הדרים ביום 30.6.2022 עד לשעה 10:00 כשברשותו תעודת זהות או דרכון"
21069180.F09.txt	לאחר עיון בגזר הדין שניתן על ידי בית המשפט המחוזי ובחינת טענות הצדדים, באתי לכלל מסקנה כי דין הערעור להתקבל באופן חלקי
23008170.O03.txt	הצדדים לא היו חלוקים לגבי קיום הפרסומים, ועל כן, כבר בקדם המשפט הוסכם כי אין צורך בשמיעת עדים, וכי סיכומי הצדדים יתמקדו בהיבטים המשפטיים, וניתן יהיה לצרף אליהם פרסומים שונים מכלי התקשורת, לתמיכה בטענות
22041220.C05.txt	ברי, כי עם קבלת הערר ניתן לעותרת, הלכה למעשה, הסעד העיקרי בעתירה – דהיינו מחיקת הרישום המשטרתי על שמה, ועל כן דין העתירה להימחק משהיא הגיעה לכלל סיום התדיינות (ראו: דפנה ברק-ארז משפט מינהלי כרך ד - משפט מינהלי דיוני 461-460 (2017) (להלן: ברק-ארז)), וזאת אף מבלי להידרש לשאלות שהעלתה העותרת, כמפורט בפסקה 12 לעיל
23069680.Y07.txt	סוף דבר: העתירה מתקבלת
22071900.A03.txt	העתירה נדחית אפוא, ועמה גם הבקשה למתן צו ביניים
22047620.M22.txt	"המערער בע""פ 4915/22, יצחק דרי, יתייצב לריצוי עונשו בכלא אוהלי קידר ביום 8.10.2023 עד לשעה 10:00, כשברשותו תעודת זהות"
21030510.E15.txt	עוד נקבע כי אין במסקנה זו כדי לשלול את קיומה של ביקורת שיפוטית על החלטת רשויות התביעה שלא להעמיד לדין חשוד מסוים, אף אם הוחלט להעמיד לדין חשוד אחר באותה פרשה
23037230.E02.txt	אשר על כן, העתירה נדחית
23084740.N03.txt	העתירה נדחית אפוא
