fileName	label
03058560_07V.txt	לפיכך, הגיש העותר תלונה למשטרה נגד המשיב 2, ומשהוחלט שלא לחקור בעניין, הגיש ערר על ההחלטה
99039060_A06.txt	מטעם זה דין הערעור להידחות
01098180_A20.txt	אשר לתוצאה המעשית בשתי הפרשות שבפנינו - סבורה אני כי דין הערעורים להידחות
01045920_F03.txt	אשר על כן אנו מחליטים לדחות את העתירה
93025120_L01.txt	חולקת אני על פסק-דינו של חברי, השופט קדמי, הסובר כי דין הערעור להידחות
13029960_t09.txt	"המבקשות נייאזוב ונריאן יתייצבו לתחילת ריצוי המאסר בפועל, ביום 19.10.14 לא יאוחר מהשעה 10:00 בבית הסוהר \"נוה תרצה\" במתחם איילון, והמבקש אוזן יתייצב באותו יום עד השעה 10:00 בבית הסוהר \"דקל\" בבאר שבע, או על פי החלטת שירות בתי הסוהר"
13029960_t09.txt	"המבקשות נייאזוב ונריאן יתייצבו לתחילת ריצוי המאסר בפועל, ביום 19.10.14 לא יאוחר מהשעה 10:00 בבית הסוהר \"נוה תרצה\" במתחם איילון, והמבקש אוזן יתייצב באותו יום עד השעה 10:00 בבית הסוהר \"דקל\" בבאר שבע, או על פי החלטת שירות בתי הסוהר"
06070670_n08.txt	אשר על כן, העתירה נדחית
94007060_G06.txt	נקצר במקום שיכולנו להאריך: לסופם של הליכי משטרה הוחלט להגיש כתב אישום נגד משיח ונגד יוסף שנסי, בעבירה של קשר לביצוע פשע
93049910_F11.txt	העתירה נדחית
96032540_F03.txt	"רונאל פישר בקשות רשות ערעור על החלטות בית המשפט המחוזי בירושלים (כבוד השופט י' עדיאל) מיום 3.4.96 בהמרצה 1295/96 ומיום 16.9.96 בהמרצות 4089/96, 4099/96, 4100/96, 4196/96, 4224/96 (במסגרת תי\"א 455/94) תאריך הישיבה: כו' בשבט תשנ\"ז (3.2.97) בשם המבקשת 1: עו\"ד ז' ליאונד בשם המבקשים 3-2: עו\"ד י' חורש, עו\"ד א' קסטיאל, עו\"ד א' כספרי בשם המשיבים: עו\"ד ד' אבי-יצחק, עו\"ד י' מימון פ ס ק - ד י ן השופט א' מצא: לפנינו בקשות, מזה ומזה, למתן רשות-ערעור על החלטות דיוניות שנתן בית המשפט המחוזי במהלך בירור תובענת המבקשים ברע\"א 7329/96 (להלן - קבוצת מעריב) נגד המבקשים ברע\"א 3254/96 (להלן - רשת שוקן)"
96065370_F03.txt	"בבית המשפט העליון בשבתו כבית משפט גבוה לצדק בג\"ץ 6537/96 בפני: כבוד השופט א' מצא כבוד השופט מ' חשין כבוד השופטת ט' שטרסברג-כהן העותר : טלאל תופיק חטיב נגד המשיב ה : מדינת ישראל בקשה לדחיית העתירה בשם המשיבה: עו\"ד יהודה שפר פ ס ק - ד י ן עניינה של העתירה בעיכוב שחרורו של העותר ממאסרו, חרף החלטת ועדת השחרורים לשחררו, בתנאי שעם שחרורו יגורש ללבנון"
95075020_A11.txt	העתירה נדחית
97052340_A03.txt	"ב בית המשפט העליון בשבתו כבית משפט גבוה לצדק בג\"ץ 5234/97 בפני: כבוד הנשיא א' ברק כבוד השופט י' טירקל כבוד השופטת ד' ביניש העותר : פאייז אחמד דוויאת נגד המשיב : שרות הבטחון הכללי בקשה למתן צו על תנאי וצו ביניים תאריך הישיבה: ל' באב התשנ\"ז ( 02.09.97 ) בשם העותר : עו\"ד אנדרה רוזנטל בשם המשיב : עו\"ד יהודה שפר פ ס ק - ד י ן לאור הצהרת בא כוח המשיב, דין העתירה להתבטל"
95073560_A02.txt	העתירה נדחית
91005310_A01.txt	"התוצאה היא שדין הערעור להתקבל, במובן זה שלתובעים מגיעה תוספת לסכום הפיצויים ששולם להם, בשיעור של 53,188 ש\"ח בתוספת הפרשי הצמדה, החל מיום 8.11.90"
97012550_F19.txt	"משרד הפנים-הלשכה האזורית למנהל האוכלוסין עתירה למתן צו על תנאי וצו ביניים תאריך הישיבה: ג' באדר תשס\"א (26.2.01) בשם העותרים : עו\"ד ו' דכוור בשם המשיבים: עו\"ד ע' הלמן פ ס ק - ד י ן בעקבות הערות בית המשפט הודיע בא-כוח המשיבים כי משרד הפנים החליט להעניק לעותרת 2 אשרה לישיבת ארעי בישראל מסוג א5/ למשך שנתיים"
97011340_F05.txt	פ ס ק - ד י ן הננו מאשרים את ההסדר המוסכם, שנרשם לפנינו מפי באי כוח הצדדים ובנוכחות העותרים, ונותנים לו תוקף של פסק-דין
97006480_E05.txt	דין הערעור להידחות
97047630_E02.txt	התוצאה היא, שהעתירה נדחית
96017330_F05.txt	מן הטעמים שפורטו דין הערעור להידחות
97027300_G01.txt	העתירה נדחית
97039450_A05.txt	מטעם זה, דין העתירה להדחות
